the_geom,Borough,Feat_Type,OfficialNM,Honor_Name,Old_Name,ULURPCPNUM,Intro_NUM,Intro_Year,IntroMonth,Intro_Day,LL_NUM,LL_SEC,LL_Type,LLEffectDT,LL_Limits,Limits_ER,Repealed,Repeal_DT,Amended,Amend_DT,Amendt_TXT,AMDYRLLSEC
POINT (-74.13990372789466 40.630188379160515),Staten Island,Corner name,None,Carlo Denino Way,None,none,0437,2003,4,30,034,59,Honorary,06/03/2003,the southeast corner of the intersection of Hooker Place and Port Richmond Avenue,,No,,No,,,
POINT (-73.95053892530998 40.58358055533236),Brooklyn,Corner name,None,Lena Azizo Cymbrowitz Way,None,none,0437,2003,4,30,034,61,Honorary,06/03/2003,the northwest corner of the intersection of Sheepshead Bay Road and Emmons Avenue,,No,,No,,,
POINT (-73.90493385966674 40.862749574224935),Bronx,Intersection name,None,Michael Reidy Pathway,None,none,0437,2003,4,30,034,71,Honorary,06/03/2003,the intersection of West Fordham Road and University Avenue,,No,,No,,,
POINT (-73.94191717435045 40.822837519840554),Manhattan,Intersection name,None,The Claude Brown Corner,None,none,0437,2003,4,30,034,79,Honorary,06/03/2003,the intersection of 145th Street and Frederick Douglas Boulevard,,No,,No,,,
POINT (-73.98489458403341 40.758594448294204),Manhattan,Intersection name,None,Actors’ Equity Corner,None,none,0368,2006,6,13,023,4,Honorary,07/11/2006,Northeast corner of 46th Street and 7th Avenue,,No,,No,,,
POINT (-73.99658204835401 40.616554738088624),Brooklyn,Intersection name,None,Josephine Diana Boulevard,None,none,0368,2006,6,13,023,5,Honorary,07/11/2006,17th Avenue and 72nd Street,,No,,No,,,
POINT (-73.95252974960275 40.80321652953291),Manhattan,Intersection name,None,Dr. Reverend Wyatt Tee Walker Square,None,none,0368,2006,6,13,023,8,Honorary,07/11/2006,"West 116th Street and Adam Clayton Powell, Jr. Boulevard",,No,,No,,,
POINT (-73.90027657878142 40.862336316113584),Bronx,Corner name,None,Angel Luis Rosario Place,None,none,0342,2003,1,8,014,3,Honorary,02/18/2003,the southeast corner of the intersection of Fordham Road and Walton Avenue,,No,,No,,,
POINT (-74.14944981083319 40.53845664907365),Staten Island,Corner name,None,"Stephen ""Snapper"" Knapp Place",None,none,0342,2003,1,8,014,10,Honorary,02/18/2003,the northwest corner of the intersection of William Avenue and Hylan Boulevard,,No,,No,,,
POINT (-74.13194185752317 40.63775012347769),Staten Island,Corner name,None,"Rev. Dr. William A. Epps, Jr. Place",None,none,0342,2003,1,8,014,14,Honorary,02/18/2003,the northeast corner of the intersection of Bennett Street and Park Avenue,,No,,No,,,
POINT (-74.08171366568 40.62078103075238),Staten Island,Corner name,None,Cheryl White Place,None,none,0342,2003,1,8,014,15,Honorary,02/18/2003,the southeast corner of the intersection of Hill Street and Warren Street,,No,,No,,,
POINT (-74.0952249164726 40.64264792013668),Staten Island,Corner name,None,Caccese Way,None,none,0342,2003,1,8,014,16,Honorary,02/18/2003,the southeast corner of the intersection of West Buchanan Street and Lafayette Avenue,,No,,No,,,
